number,language,score,frequency
5,amharic,0.4782608695652174,20
6,arabic,0.4312304631997726,102
19,bengali,0.4075021312872975,17
21,bulgarian,0.4251207729468599,18
23,cantonese,0.4940138626339005,23
36,dutch,0.3132901634289238,47
39,english,0.2151635753798402,579
45,farsi,0.4215500945179585,23
50,french,0.4182194616977225,63
58,german,0.3474235104669887,36
67,hindi,0.392109500805153,18
78,italian,0.4804567413263066,33
79,japanese,0.3988191089640366,27
93,korean,0.5239687848383502,52
105,macedonian,0.354515050167224,26
110,mandarin,0.4945373467112597,65
136,polish,0.3857630008525149,34
137,portuguese,0.4474637681159422,48
141,romanian,0.4021739130434782,20
144,russian,0.4634661835748792,48
150,serbian,0.3542673107890499,18
162,spanish,0.4594739667203437,162
165,swedish,0.3043478260869565,20
168,tagalog,0.322866344605475,18
181,turkish,0.5201723462593028,37
185,urdu,0.3143115942028985,16
188,vietnamese,0.5948616600790513,22
